genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
SWAP70	18.0160836876656	-2.45009489848542	0.486100594150479	-5.04030426617204	4.64792286092305e-07	3.91486120164995e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SYCE1	6.00670644701416	4.0152836786026	0.693525500293482	5.78966984905881	7.05249090473352e-09	1.13472770326161e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SYDE2	11.577906009162	-2.91901288942892	0.828580562426141	-3.52290775550159	0.000426839892954437	0.00944769075234248	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SYNPO2	10.9976418584231	4.04124055491342	0.365402958693604	11.0596820818358	1.96793809460234e-28	3.52823186960847e-25	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SYNPR	209.788277721577	-2.04456686996658	0.295300208877304	-6.92368921017626	4.40030736810723e-12	1.4159963453781e-09	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SYT9	5.65950698236293	-3.24864844609493	0.897329568635233	-3.62035149586775	0.000294203071341602	0.00718336292867141	TRUE	HARsv2_0343	NA	HARsv2_0343	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
TAC4	1.38480970392806	2.86375263627276	0.732741665830089	3.90827049943796	9.29591936944159e-05	0.00301456816760961	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
TAF11	22.5370791899515	0.820892713916391	0.211579718380298	3.8798270467536	0.000104530765533542	0.0032646599073716	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
TAF7	11.8977863942002	-6.46616097212793	1.01781482716704	-6.35298366612098	2.11178148102613e-10	5.0967033820919e-08	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
TAP2	2.8012359518093	4.7433364906775	0.808057820264408	5.87004589489081	4.35674517617725e-09	7.70100731845414e-07	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
TARBP1	120.54147040916	0.790952403293736	0.161600259437898	4.8944995883357	9.8556183081713e-07	7.06788627243142e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
TATDN3	26.6017272271097	1.82661847909482	0.187964773610136	9.71787662130493	2.53002244115358e-22	3.17517816364775e-19	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
TBC1D1	96.5284040446073	-0.762651812863418	0.211301453259164	-3.60930699292454	0.000307016104342598	0.0074239925038528	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	991	991	FALSE	TRUE	TRUE	TRUE	FALSE
TBC1D16	26.4146982448965	-1.2528121506122	0.308158650487922	-4.06547779407964	4.79341584223276e-05	0.00176913030749924	TRUE	HARsv2_1151	NA	HARsv2_1151	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
TBC1D19	88.5070253038425	0.509618186363661	0.129222288502636	3.94373286736263	8.02230172314476e-05	0.00266348906416579	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
TCEANC2	14.2352937662844	-1.13174517378764	0.319415771967504	-3.54317248273756	0.000395344038093685	0.00889948815345643	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
TCTEX1D1	13.5985733872806	2.61758800581033	0.58711003604416	4.45842831004415	8.25628007163252e-06	0.000417807721366887	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
